Cultivar,Neighbourhood,Location Description,Blooming
Kanzan,Riley Park,"18th, Main to Fraser",04/10-04/25
Kanzan,Riley Park,20th and Sophia,04/10-04/25
Kanzan,Riley Park,"Fraser, 19th to King Edward",04/10-04/25
Kanzan,Riley Park,28th and Prince Edward,04/10-04/25
Kanzan,Riley Park,Sophia and 28th,04/10-04/25
Kanzan,Riley Park,Mtn View Cemetery NW,04/10-04/25
Kanzan,Riley Park,Prince Edward and 31st,04/10-04/25
Kanzan,Riley Park,"Alberta, 37th to 41st",04/10-04/25
Kanzan,Riley Park,40th and Alberta,04/10-04/25
Kanzan,Riley Park,"Mackie, 37th to 41st",04/10-04/25
Kanzan,Riley Park,QEPark at 37th and Mackie,04/10-04/25
Kanzan,Riley Park,E23rd Avenue between Quebec and Ontario,04/10-04/25
Kanzan,Riley Park,420 W 35th Ave,04/10-04/25
Kanzan,Riley Park,4900-5050 Kersland Dr,04/10-04/25
Kanzan,Riley Park,"Queen Elizabeth Park, 4600 Cambie St",04/10-04/25
Kanzan,Riley Park,"Queen Elizabeth Park, Midlothian Ave East Side",04/10-04/25
Kanzan,Shaughnessy,VanDusen GrtL,04/10-04/25
Kanzan,Shaughnessy,VanDusen Aut Stroll,04/10-04/25
Kanzan,Shaughnessy,Minto and Granville,04/10-04/25
Kanzan,Shaughnessy,32nd and Granville,04/10-04/25
Kanzan,Shaughnessy,Connaught and 32nd,04/10-04/25
Kanzan,South Cambie,"Willow, 37th to 39th",04/10-04/25
Kanzan,South Cambie,Tupper and Cambie,04/10-04/25
Kanzan,South Cambie,22nd and Tupper,04/10-04/25
Kanzan,South Cambie,20th and Oak,04/10-04/25
Kanzan,South Cambie,737 W.26th near Heather,04/10-04/25
Kanzan,South Cambie,3808 Heather St,04/10-04/25
Kanzan,South Cambie,971-987 W 21st Ave,04/10-04/25
Kanzan,South Cambie,3330-3332 Heather St,04/10-04/25
Kanzan,South Cambie,BC Children's Hospital playtime area at Heather and 29th,04/10-04/25
Kanzan,Strathcona,"Union, from Campbell to Raymur",04/10-04/25
Kanzan,Strathcona,"Cottrell, west of The Home Depot",04/10-04/25
Kanzan,Strathcona,Alexander and Jackson,04/10-04/25
Kanzan,Strathcona,743-745 Vernon Dr,04/10-04/25
Kanzan,Strathcona,438 Union St,04/10-04/25
Kanzan,Sunset,"49th, east of Cambie",04/10-04/25
Kanzan,Sunset,"E 50th Ave, from Ontario to Fraser st",04/10-04/25
Kanzan,Sunset,"53rd, Fraser to Ross",04/10-04/25
Kanzan,Sunset,"Elgin, 47th to 49th",04/10-04/25
Kanzan,Sunset,6090 Inverness St,04/10-04/25
Kanzan,Sunset,7232 Inverness St,04/10-04/25
Kanzan,Sunset,226 E 57th Ave,04/10-04/25
Kanzan,Sunset,6460-6476 Sophia St,04/10-04/25
Kanzan,Sunset,439 E 51st Ave,04/10-04/25
Kanzan,Sunset,1245-1259 E 51st Ave,04/10-04/25
Kanzan,Sunset,54 E 69th Ave,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,6448 Gale Ave N,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,6404 Sandpiper Rd,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,5862 Ash Ave,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,6243 Walnut St,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,900 Gibsons Way,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,1580 Island View Dr,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,4-292 Gower Point Rd,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,1549 Langdale Rd,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,1011 Seamount Way,04/10-04/25
Kanzan,Sunshine Coast/Gulf Islands,Sunnyside near Clark,04/10-04/25
Kanzan,Surrey and North Delta,156 St at 80 Ave,04/10-04/25
Kanzan,Surrey and North Delta,104 Ave at 156 St,04/10-04/25
Kanzan,Surrey and North Delta,101 Ave and 157 St,04/10-04/25
Kanzan,Surrey and North Delta,101 Ave,04/10-04/25
Kanzan,Surrey and North Delta,100 Ave and 155 St,04/10-04/25
Kanzan,Surrey and North Delta,156 St and 101A Ave,04/10-04/25
Kanzan,Surrey and North Delta,101A Ave and 156A St,04/10-04/25
Kanzan,Surrey and North Delta,101A Ave and 158 St,04/10-04/25
Kanzan,Surrey and North Delta,102b Ave,04/10-04/25
Kanzan,Surrey and North Delta,57Ave and 144 Str.,04/10-04/25
Kanzan,Surrey and North Delta,148Str 104Ave,04/10-04/25
Kanzan,Surrey and North Delta,101A ave from 150 Str,04/10-04/25
Kanzan,Surrey and North Delta,152Str south from 64 Ave,04/10-04/25
Kanzan,Surrey and North Delta,15131-15191 62A Ave,04/10-04/25
Kanzan,Surrey and North Delta,"66 Ave,130Str, 65aAve",04/10-04/25
Kanzan,Surrey and North Delta,7168-7178 130 St,04/10-04/25
Kanzan,Surrey and North Delta,Scott Road skytrain Station,04/10-04/25
Kanzan,Surrey and North Delta,120Str & 84Ave,04/10-04/25
Kanzan,Surrey and North Delta,8024-8074 120 St,04/10-04/25
Kanzan,Surrey and North Delta,Newton shopping center and nearby streets,04/10-04/25
Kanzan,Surrey and North Delta,5687 180 St,04/10-04/25
Kanzan,Surrey and North Delta,58Ave & 177bStr,04/10-04/25
Kanzan,Surrey and North Delta,7644 140a St,04/10-04/25
Kanzan,Surrey and North Delta,12007 Boundary Dr S,04/10-04/25
Kanzan,Surrey and North Delta,7778 152 St,04/10-04/25
Kanzan,Surrey and North Delta,8840 Ursus Crescent,04/10-04/25
Kanzan,Surrey and North Delta,13787 90 Ave,04/10-04/25
Kanzan,Surrey and North Delta,7485 130 St,04/10-04/25
Kanzan,Surrey and North Delta,8523-8533 120a St,04/10-04/25
Kanzan,Surrey and North Delta,11326-11338 84 Ave,04/10-04/25
Kanzan,Surrey and North Delta,15453 Fraser Hwy,04/10-04/25
Kanzan,Surrey and North Delta,15117 Guildford Town Centre,04/10-04/25
Kanzan,Surrey and North Delta,10350 University Dr,04/10-04/25
Kanzan,Surrey and North Delta,13399 104 Ave,04/10-04/25
Kanzan,Surrey and North Delta,21 78 Ave,04/10-04/25
Kanzan,Surrey and North Delta,13260 78 Ave,04/10-04/25
Kanzan,Surrey and North Delta,7899-7969 132 St,04/10-04/25
Kanzan,Surrey and North Delta,10734-10776 141 St,04/10-04/25
Kanzan,Surrey and North Delta,14865 108 Ave,04/10-04/25
Kanzan,Surrey and North Delta,15470 94 Ave,04/10-04/25
Kanzan,Surrey and North Delta,15001-15007 95a Ave,04/10-04/25
Kanzan,Surrey and North Delta,15016 97 Ave,04/10-04/25
Kanzan,Surrey and North Delta,15037-15083 98 Ave,04/10-04/25
Kanzan,Surrey and North Delta,15059 98a Ave,04/10-04/25
Kanzan,Surrey and North Delta,9772-9798 151 St,04/10-04/25
Kanzan,Surrey and North Delta,14114 76 Ave,04/10-04/25
Kanzan,Surrey and North Delta,8750-8776 140 St,04/10-04/25
Kanzan,Surrey and North Delta,15146 86b Ave,04/10-04/25
Kanzan,Surrey and North Delta,NB Scott Rd FS Holt Rd Surrey,04/10-04/25
Kanzan,Surrey and North Delta,12371-12393 96 Ave,04/10-04/25
Kanzan,Surrey and North Delta,13470-13510 73 Ave,04/10-04/25
Kanzan,Surrey and North Delta,733 72 Ave,04/10-04/25
Kanzan,Surrey and North Delta,6200-6236 150 St,04/10-04/25
Kanzan,Surrey and North Delta,9700 King George Blvd,04/10-04/25
Kanzan,Tsawwassen,"Beach Grove Park, Tsawwassen",04/10-04/25
Kanzan,Tsawwassen,near Ladner Exchange,04/10-04/25
Kanzan,Tsawwassen,56 St. 14 Ave.,04/10-04/25
Kanzan,UBC,Chancellor Blvd near Allison,04/10-04/25
Kanzan,UBC,West Mall,04/10-04/25
Kanzan,UBC,Chancellor Blvd at Blanca,04/10-04/25
Kanzan,UBC,University Blvd,04/10-04/25
Kanzan,UBC,UBC Golf Course,04/10-04/25
Kanzan,UBC,Acadia Rd from Chancellor to University Blvd,04/10-04/25
Kanzan,UBC,Chancellor Blvd. at Queensland,04/10-04/25
Kanzan,UBC,Nitobe Memorial Garden,04/10-04/25
Kanzan,UBC,Nitobe Memorial Garden,04/10-04/25
Kanzan,UBC,Nitobe Memorial Garden,04/10-04/25
Kanzan,UBC,Nitobe Memorial Garden,04/10-04/25
Kanzan,UBC,NItobe Memorial Garden,04/10-04/25
Kanzan,UBC,Nitobe Memorial Garden,04/10-04/25
Kanzan,"Victoria, BC","805 Broughton St, Victoria",04/10-04/25
Kanzan,"Victoria, BC",Harris Green,04/10-04/25
Kanzan,"Victoria, BC",1171 Rockland Ave,04/10-04/25
Kanzan,"Victoria, BC",991 Vancouver St,04/10-04/25
Kanzan,"Victoria, BC",612 Government St,04/10-04/25
Kanzan,Victoria-Fraserview,Argyle St from E 37th Ave to E 47th Ave.,04/10-04/25
Kanzan,Victoria-Fraserview,"Harrison Drive, Ancaster Crescent, Bonaccord Drive",04/10-04/25
Kanzan,Victoria-Fraserview,5727-5849 Berkeley St,04/10-04/25
Kanzan,Victoria-Fraserview,2488 Scarboro Ave,04/10-04/25
Kanzan,Victoria-Fraserview,6408 Vivian St,04/10-04/25
Kanzan,Victoria-Fraserview,6515 Elliott St,04/10-04/25
Kanzan,West End / Stanley Park,"Bute, Nelson to Burnaby",04/10-04/25
Kanzan,West End / Stanley Park,Haro Chilco to Broughton,04/10-04/25
Kanzan,West End / Stanley Park,Jervis at Burnaby,04/10-04/25
Kanzan,West End / Stanley Park,950 Bidwell St,04/10-04/25
Kanzan,West End / Stanley Park,1740 Comox St,04/10-04/25
Kanzan,West Point Grey,15th and Blanca,04/10-04/25
Kanzan,West Point Grey,12th and Discovery,04/10-04/25
Kanzan,West Point Grey,12th and Wallace,04/10-04/25
Kanzan,West Point Grey,4483 W 10th Ave,04/10-04/25
Kanzan,West Point Grey,3393 Point Grey Rd,04/10-04/25
Kanzan,West Point Grey,W 9th Ave & Trimble St,04/10-04/25
Kanzan,West Vancouver,Taylor Way north of the freeway,04/10-04/25
Kanzan,West Vancouver,6456 Bay St,04/10-04/25
Kanzan,West Vancouver,898 Marine Dr,04/10-04/25
Kanzan,West Vancouver,283 Tomahawk Ave,04/10-04/25
Kanzan,West Vancouver,235 17th St,04/10-04/25
Kanzan,White Rock / South Surrey,Aroung corner Blackwood Str,04/10-04/25
Kanzan,White Rock / South Surrey,CentennialParkWhiteRockCentre,04/10-04/25
Kanzan,White Rock / South Surrey,20 Ave from 151 to 150 St,04/10-04/25
Kanzan,White Rock / South Surrey,Southmere Cr,04/10-04/25
Kanzan,White Rock / South Surrey,East side of 152 St from Veterinary Hospital toward 26 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,ALDERWOOD Park and area around,04/10-04/25
Kanzan,White Rock / South Surrey,"26 Ave, Northcrest Dr, 28 Ave",04/10-04/25
Kanzan,White Rock / South Surrey,"18A Ave at 136 St, 134A, 19, 135A",04/10-04/25
Kanzan,White Rock / South Surrey,Martin Str south from 16 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,"Oxford St, Evergreen Baptist Home",04/10-04/25
Kanzan,White Rock / South Surrey,163A from 13 Ave south to 12 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,163 between 12 Ave and 10Ave,04/10-04/25
Kanzan,White Rock / South Surrey,162 St from 10 Ave turning to 161A,04/10-04/25
Kanzan,White Rock / South Surrey,140A St and 16A Ave,04/10-04/25
Kanzan,White Rock / South Surrey,24A Ave from 144 St,04/10-04/25
Kanzan,White Rock / South Surrey,17A Ave from 146 St,04/10-04/25
Kanzan,White Rock / South Surrey,15A Ave from 134A St,04/10-04/25
Kanzan,White Rock / South Surrey,14A Ave east from 133B St,04/10-04/25
Kanzan,White Rock / South Surrey,26 Ave east from 134 and 26 Ave west from 136,04/10-04/25
Kanzan,White Rock / South Surrey,16A Ave from 146 St,04/10-04/25
Kanzan,White Rock / South Surrey,17A Ave between 126 and 127A Streets,04/10-04/25
Kanzan,White Rock / South Surrey,along the river,04/10-04/25
Kanzan,White Rock / South Surrey,152Str and 34ave,04/10-04/25
Kanzan,White Rock / South Surrey,"15630,Russell Ave",04/10-04/25
Kanzan,White Rock / South Surrey,152Str and 56Ave,04/10-04/25
Kanzan,White Rock / South Surrey,36b Ave(Cul-de-sac) from 155Str.,04/10-04/25
Kanzan,White Rock / South Surrey,37A ave from 155Str,04/10-04/25
Kanzan,White Rock / South Surrey,"156a Str, 32ave",04/10-04/25
Kanzan,White Rock / South Surrey,146Str and 36B,04/10-04/25
Kanzan,White Rock / South Surrey,King George Blvd and 34Ave,04/10-04/25
Kanzan,White Rock / South Surrey,Winter Cr. and King George Blvd,04/10-04/25
Kanzan,White Rock / South Surrey,On Cranley Dr from 157,04/10-04/25
Kanzan,White Rock / South Surrey,148A Str. and 21B Ave,04/10-04/25
Kanzan,White Rock / South Surrey,1371 Foster St,04/10-04/25
Kanzan,White Rock / South Surrey,1858 128a St,04/10-04/25
Kanzan,White Rock / South Surrey,5585 148 St,04/10-04/25
Kanzan,White Rock / South Surrey,7250-7262 144 St,04/10-04/25
Kanzan,White Rock / South Surrey,14416 89a Ave,04/10-04/25
Kanzan,White Rock / South Surrey,1989 142 St,04/10-04/25
Kanzan,White Rock / South Surrey,2239 152 St,04/10-04/25
Kanzan,White Rock / South Surrey,12932 21a Ave,04/10-04/25
Kanzan,White Rock / South Surrey,12902-12958 22b Ave,04/10-04/25
Kanzan,White Rock / South Surrey,2736 127 St,04/10-04/25
Kanzan,White Rock / South Surrey,2643 128 St,04/10-04/25
Kanzan,White Rock / South Surrey,12919 19 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,1915-1925 154a St,04/10-04/25
Kanzan,White Rock / South Surrey,16063-16139 13 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,16168-16188 11b Ave,04/10-04/25
Kanzan,White Rock / South Surrey,16172 11 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,1024 160a St,04/10-04/25
Kanzan,White Rock / South Surrey,15544 Vista Dr,04/10-04/25
Kanzan,White Rock / South Surrey,16544 10 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,14606-14798 Colebrook Rd,04/10-04/25
Kanzan,White Rock / South Surrey,15241 19 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,15818 27 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,14460 17a Ave,04/10-04/25
Kanzan,White Rock / South Surrey,2 149a St,04/10-04/25
Kanzan,White Rock / South Surrey,1183a Maple St,04/10-04/25
Kanzan,White Rock / South Surrey,Bakerview Park 1845,04/10-04/25
Kanzan,White Rock / South Surrey,15609 Thrift Ave,04/10-04/25
Kanzan,White Rock / South Surrey,17 156a St,04/10-04/25
Kanzan,White Rock / South Surrey,16032 30 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,15414 26 Ave,04/10-04/25
Kanzan,White Rock / South Surrey,3101 144 St,04/10-04/25
Kanzan,White Rock / South Surrey,2856 144 St,04/10-04/25
Kiku-shidare-zakura,Burnaby,Maywood west of Willingdon,04/09-04/24
Kiku-shidare-zakura,Burnaby,8520-8540 7th St,04/09-04/24
Kiku-shidare-zakura,Burnaby,7817 Woodhurst Dr,04/09-04/24
Kiku-shidare-zakura,Burnaby,1183 Blaine Dr,04/09-04/24
Kiku-shidare-zakura,Coquitlam,1175 Heffley Crescent,04/09-04/24
Kiku-shidare-zakura,Delta,Fairlight Cr,04/09-04/24
Kiku-shidare-zakura,Hastings-Sunrise,Nootka at Adanac,04/09-04/24
Kiku-shidare-zakura,Kensington-Cedar Cottage,Victoria and 10th,04/09-04/24
Kiku-shidare-zakura,Kensington-Cedar Cottage,"E36, Knight",04/09-04/24
Kiku-shidare-zakura,Killarney,44th east of the lane east of Wales,04/09-04/24
Kiku-shidare-zakura,Kitsilano,2636 W 3rd Ave,04/09-04/24
Kiku-shidare-zakura,Langley,20709 Eastleigh Crescent,04/09-04/24
Kiku-shidare-zakura,Langley,8896 204 St,04/09-04/24
Kiku-shidare-zakura,Mount Pleasant,292 W 13th Ave,04/09-04/24
Kiku-shidare-zakura,North Vancouver,1240 15th St W,04/09-04/24
Kiku-shidare-zakura,North Vancouver,890 E 29th St,04/09-04/24
Kiku-shidare-zakura,North Vancouver,905 E 29th St,04/09-04/24
Kiku-shidare-zakura,Oakridge,Laurel W42,04/09-04/24
Kiku-shidare-zakura,Oakridge,5975 Alberta St,04/09-04/24
Kiku-shidare-zakura,Port Coquitlam,2040 Grant Ave,04/09-04/24
Kiku-shidare-zakura,Renfrew-Collingwood,3453 Price St,04/09-04/24
Kiku-shidare-zakura,Renfrew-Collingwood,3515-3517 Tanner St,04/09-04/24
Kiku-shidare-zakura,Renfrew-Collingwood,3147 E 15th Ave,04/09-04/24
Kiku-shidare-zakura,Richmond,5564 Wallace Rd,04/09-04/24
Kiku-shidare-zakura,Riley Park,Queen Elizabeth Park,04/09-04/24
Kiku-shidare-zakura,Shaughnessy,VanDusen,04/09-04/24
Kiku-shidare-zakura,South Cambie,805 W 18th Ave,04/09-04/24
Kiku-shidare-zakura,Sunset,Ross St and Waverley Ave,04/09-04/24
Kiku-shidare-zakura,Sunshine Coast/Gulf Islands,587 Wildwood Crescent,04/09-04/24
Kiku-shidare-zakura,Sunshine Coast/Gulf Islands,931 Soames Rd,04/09-04/24
Kiku-shidare-zakura,Sunshine Coast/Gulf Islands,1551 Island View Dr,04/09-04/24
Kiku-shidare-zakura,Sunshine Coast/Gulf Islands,3240 Beach Ave,04/09-04/24
Kiku-shidare-zakura,Surrey and North Delta,13067 107 Ave,04/09-04/24
Kiku-shidare-zakura,UBC,College Highroad west of Adelaide 1 tree,04/09-04/24
Kiku-shidare-zakura,Victoria-Fraserview,Prestwick at Upland,04/09-04/24
Kiku-shidare-zakura,Victoria-Fraserview,2725 E 51st Ave,04/09-04/24
Kiku-shidare-zakura,Victoria-Fraserview,2641-2665 E 53rd Ave,04/09-04/24
Kiku-shidare-zakura,Victoria-Fraserview,2376 Fraserview Dr,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,26 Ave and 126 St,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,23 Ave and 150 St,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,152A St near 22 Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,141 street around 29 and 30 Avenues,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,Collingwood Cr. near Morgan Creek Way,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,156St north from 34Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,155Str and 36Aave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,12Ave & 164Str,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,14972 24a Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,14779 Russell Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,1370 Everall St,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,2092 148 St,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,13041-13179 22a Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,14869 15875-20 Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,13266 24 Ave Frontage Rd,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,13731-13885 18 Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,15991 Humberside Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,12630 26 Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,15116 19a Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,15663 Buena Vista Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,14896 21b Ave,04/09-04/24
Kiku-shidare-zakura,White Rock / South Surrey,2204 148 St,04/09-04/24
Kiku-zakura,Grandview-Woodland,"William, Lakewood to Garden",04/09-04/24
Kiku-zakura,Grandview-Woodland,2236 Graveley St,04/09-04/24
Kiku-zakura,Hastings-Sunrise,"Turner, east of Nanaimo",04/09-04/24
Kiku-zakura,Kitsilano,3085 Maple St,04/09-04/24
Kiku-zakura,Riley Park,WB Midlothian Ave @ Clancy Loranger Way Riley Park–Little Mountain,04/09-04/24
Kiku-zakura,South Cambie,937 W 21st Ave,04/09-04/24
Kiku-zakura,UBC,NItobe Memorial Garden,04/09-04/24
Kiku-zakura,West End / Stanley Park,"Robson, west of Gilford",04/09-04/24
Korean Hill Cherry,Richmond,Minoru and Acheson,04/01-04/14
Korean Hill Cherry,Shaughnessy,VanDusen SinoGrtL,04/01-04/14
Korean Hill Cherry,Sunshine Coast/Gulf Islands,Langdale Terminal 1376,04/01-04/14
Korean Hill Cherry,Surrey and North Delta,Bear Creek Park,04/01-04/14
Korean Hill Cherry,West End / Stanley Park,"Cardero, in lane south of Davie",04/01-04/14
Little Twist,Riley Park,4118 Yukon St,04/04-04/19
Little Twist,Shaughnessy,Visitor Centre 5151,04/04-04/19
Little Twist,White Rock / South Surrey,14945 34B Ave,04/04-04/19
Matsumae-beni-higoromo,Coquitlam,1423-1453 Johnson St,04/04-04/19
Mikuruma-gaeshi,Arbutus Ridge,"31st, Mackenzie to Trafalgar",03/24-04/07
Mikuruma-gaeshi,Arbutus Ridge,18th and MacDonald,03/24-04/07
Mikuruma-gaeshi,Dunbar-Southlands,Highbury south of 37th,03/24-04/07
Mikuruma-gaeshi,Dunbar-Southlands,3820-3888 W King Edward Ave,03/24-04/07
Mikuruma-gaeshi,Kensington-Cedar Cottage,Brock w of Nanaimo,03/24-04/07
Mikuruma-gaeshi,Kerrisdale,3111 W 43rd Ave,03/24-04/07
Mikuruma-gaeshi,Kitsilano,1836 McNicoll Ave,03/24-04/07
Mikuruma-gaeshi,Marpole,63rd from Ash to Heather,03/24-04/07
Mikuruma-gaeshi,Riley Park,QE Park W 37th Ave and Alberta St,03/24-04/07
Mikuruma-gaeshi,Riley Park,"Peveril, Dinmont",03/24-04/07
Mikuruma-gaeshi,Riley Park,"Talisman, Dinmont",03/24-04/07
Mikuruma-gaeshi,South Cambie,"W 30, Ash",03/24-04/07
Mikuruma-gaeshi,South Cambie,625 W 27th Ave,03/24-04/07
Mikuruma-gaeshi,UBC,Botanical Garden Centre 6804,03/24-04/07
Mikuruma-gaeshi,West End / Stanley Park,Barclay west of Cardero,03/24-04/07
Mikuruma-gaeshi,West End / Stanley Park,"Pendrell, Denman to Stanley Park",03/24-04/07
Mikuruma-gaeshi,West End / Stanley Park,2015 Haro St,03/24-04/07
Mikuruma-gaeshi,West End / Stanley Park,1875 Robson St,03/24-04/07
Mikuruma-gaeshi,West Point Grey,Bellevue at Belmont,03/24-04/07
O-yama-zakura,Fairview,1431-1433 W 5th Ave,04/01-04/14
O-yama-zakura,Kerrisdale,"W47, E.Boulevard to Maple",04/01-04/14
O-yama-zakura,Riley Park,Queen Elizabeth Park,04/01-04/14
O-yama-zakura,Strathcona,601 Keefer St,04/01-04/14
O-yama-zakura,UBC,UBC Botanical Garden,04/01-04/14
O-yama-zakura,UBC,6804 SW Marine Dr,04/01-04/14
O-yama-zakura,UBC,Upper Asian Way Vancouver,04/01-04/14
Ojochin,UBC,Nitobe Memorial Garden,04/01-04/14
Ojochin,UBC,Ting Lookout 6804,04/01-04/14
Ojochin,UBC,Nitobe Memorial Garden,04/01-04/14
Ojochin,West End / Stanley Park,Japanese Memorial in Stanley Park,04/01-04/14
Okame,Burnaby,Charles and Fell,03/01-03/16
Okame,Burnaby,Charles Fell,03/01-03/16
Okame,Burnaby,6975 Kingsway,03/01-03/16
Okame,Burnaby,"Telus buidling, 5619 Boundary Rd",03/01-03/16
Okame,Killarney,"58th Ave, Kerr to Rosemont Dr",03/01-03/16
Okame,Kitsilano,6th east of Stephen,03/01-03/16
Okame,Kitsilano,2nd at Maple,03/01-03/16
Okame,Kitsilano,Country Lane off 5th at Maple,03/01-03/16
Okame,Langley,53 Ave & 198a St,03/01-03/16
Okame,North Vancouver,2398 Carmaria Ct,03/01-03/16
Okame,Richmond,11731 No. 1 Road,03/01-03/16
Okame,Sunshine Coast/Gulf Islands,6420 Gale Ave N,03/01-03/16
Okame,Tsawwassen,9 Ave at 56 St,03/01-03/16
Okame,UBC,Fraser Parkade,03/01-03/16
Okame,West Vancouver,2196 Nelson Ave,03/01-03/16
Okame,White Rock / South Surrey,Southmere Crescent- 17Ave,03/01-03/16
Okame,White Rock / South Surrey,133bStr and 18aAve,03/01-03/16
Okame,White Rock / South Surrey,"NicholRd,16Ave",03/01-03/16
Okame,White Rock / South Surrey,136 St and 22A Ave,03/01-03/16
Okame,White Rock / South Surrey,On 16 Ave near Best St,03/01-03/16
Okame,White Rock / South Surrey,15475 Goggs Ave,03/01-03/16
Okame,White Rock / South Surrey,2016 132a St,03/01-03/16
Okame,White Rock / South Surrey,1920 133b St,03/01-03/16
Oshima-zakura,Burnaby,464 Centennial Way,03/24-04/07
Oshima-zakura,Kitsilano,Kits Beach,03/24-04/07
Oshima-zakura,Sunset,Prince Edward E. 51,03/24-04/07
Pandora,Burnaby,1660 Fairlawn Dr,03/21-04/07
Pandora,Burnaby,4014 Frances St,03/21-04/07
Pandora,Fairview,814 W 14th Ave,03/14-03/31
Pandora,Kerrisdale,Arbutus south of 51st,03/21-04/07
Pandora,Kitsilano,"W6th, Arbutus to Yew",03/14-03/31
Pandora,Kitsilano,"6th, between Cypress and Maple",03/14-03/31
Pandora,Mount Pleasant,"15th, 16th and Manitoba",03/21-04/07
Pandora,North Vancouver,East 29 th Street,03/25-04/04
Pandora,Richmond,8655 Jones St.,03/14-03/31
Pandora,Riley Park,Quebec and 27th,03/25-04/04
Pandora,Riley Park,Queen Elizabeth Park,03/25-04/04
Pandora,Sunshine Coast/Gulf Islands,668 Harmony Ln,03/25-04/04
Pandora,UBC,6804 SW Marine Dr,03/21-04/07
Pandora,West End / Stanley Park,Magnolia Walk in Stanley Park,03/21-04/07
Pandora,West Vancouver,1200 Argyle Ave,03/21-04/07
Pandora,White Rock / South Surrey,23Ave and 138 St,03/21-04/07
Pandora,White Rock / South Surrey,160aStr near 14Ave,03/21-04/07
Pink Perfection,Burnaby,Patterson north of Mayberry,04/09-04/24
Pink Perfection,Burnaby,3420 Bell Ave,04/09-04/24
Pink Perfection,Burnaby,6188 Patterson Ave,04/09-04/24
Pink Perfection,Fairview,3rd and Fir,04/09-04/24
Pink Perfection,Kitsilano,"Kits Beach, Arbutus side",04/09-04/24
Pink Perfection,Mount Pleasant,south side of Terminal between Quebec and Main,04/09-04/24
Pink Perfection,Oakridge,Southbound Cambie St @ W 45 Ave Oakridge,04/09-04/24
Pink Perfection,Oakridge,6030 Willow St,04/09-04/24
Pink Perfection,Surrey and North Delta,9926-9938 151 St,04/09-04/24
Pink Perfection,White Rock / South Surrey,152 north from 24,04/09-04/24
Pink Perfection,White Rock / South Surrey,25 Ave from 142 Str,04/09-04/24
Pink Perfection,White Rock / South Surrey,16 Ave and 152 St,04/09-04/24
Pink Perfection,White Rock / South Surrey,24 Ave near 152 Str,04/09-04/24
Pink Perfection,White Rock / South Surrey,15219-15231 Fraser Hwy,04/09-04/24
Prunus maackii,Arbutus Ridge,Yew from 32nd to 33rd,03/18-04/29
Rancho,Arbutus Ridge,Quesnel and 27th,03/24-04/07
Rancho,Arbutus Ridge,MacDonald at 19th,03/24-04/07
Rancho,Burnaby,4781 Parkwood Ave,03/24-04/07
Rancho,Burnaby,4455 Grange St,03/24-04/07
Rancho,Burnaby,383 Fell Ave,03/24-04/07
Rancho,Coquitlam,3030 Lincoln Ave.,03/28-04/12
